City,ID,Time,X1,X2,X3,X4,X5,X6,Y
"San Jose, CA",1,2012,3.446692466,3.439963936,3.137037455,3.141449773,11.85649778,9.854845601,5.364237402
"San Jose, CA",1,2013,3.439963936,3.430397591,3.141449773,3.16613397,11.800444,9.946250844,5.501856759
"San Jose, CA",1,2014,3.430397591,3.424881637,3.16613397,3.178401342,11.74870572,10.06324446,5.553119524
"San Jose, CA",1,2015,3.424881637,3.42143939,3.178401342,3.222196046,11.71802494,10.24143224,5.618377524
"San Jose, CA",1,2016,3.42143939,3.432006687,3.222196046,3.244771761,11.74240287,10.45529074,5.625538212
"San Jose, CA",1,2017,3.432006687,3.46329561,3.244771761,3.283074975,11.88605369,10.65282897,5.667187434
"San Jose, CA",1,2018,3.46329561,3.486996888,3.283074975,3.32407658,12.07650102,10.91319263,5.777408544
"San Jose, CA",1,2019,3.486996888,3.501196242,3.32407658,3.334654767,12.2086604,11.08464781,5.735362402
"San Jose, CA",1,2020,3.501196242,3.525044807,3.334654767,3.346939463,12.34187363,11.16088763,5.743124148
"San Jose, CA",1,2021,3.525044807,3.521530341,3.346939463,3.34869419,12.41355224,11.20787673,5.763396695
"San Jose, CA",1,2022,3.521530341,3.542825427,3.34869419,3.366982976,12.47616723,11.27499633,5.764534453
"San Jose, CA",1,2023,3.542825427,3.569607968,3.366982976,3.382017043,12.64649787,11.38719381,5.775425353
"Los Angeles, CA",2,2012,3.398113692,3.390758529,3.048053173,3.054995862,11.52218298,9.31178983,5.387614655
"Los Angeles, CA",2,2013,3.390758529,3.379486814,3.054995862,3.059941888,11.45902374,9.348109805,5.491372005
"Los Angeles, CA",2,2014,3.379486814,3.373095987,3.059941888,3.072617477,11.39933341,9.402030922,5.538472282
"Los Angeles, CA",2,2015,3.373095987,3.376759395,3.072617477,3.084218687,11.39013357,9.476624238,5.538240155
"Los Angeles, CA",2,2016,3.376759395,3.388101202,3.084218687,3.104145551,11.44080256,9.573863713,5.573022609
"Los Angeles, CA",2,2017,3.388101202,3.398981067,3.104145551,3.118925753,11.51609184,9.681599498,5.629522098
"Los Angeles, CA",2,2018,3.398981067,3.419625361,3.118925753,3.145196406,11.62324186,9.809634069,5.718012291
"Los Angeles, CA",2,2019,3.419625361,3.431685345,3.145196406,3.168497484,11.73507824,9.965546898,5.710569035
"Los Angeles, CA",2,2020,3.431685345,3.450249108,3.168497484,3.191451014,11.8401693,10.11210451,5.733920734
"Los Angeles, CA",2,2021,3.450249108,3.450095076,3.191451014,3.182699903,11.90368746,10.15743084,5.764838544
"Los Angeles, CA",2,2022,3.450095076,3.473048805,3.182699903,3.231214648,11.98234858,10.28398655,5.773171919
"Los Angeles, CA",2,2023,3.473048805,3.510410948,3.231214648,3.252367514,12.19182855,10.50909755,5.771824941
"Seattle, WA",3,2012,3.351216345,3.351022853,2.995635195,3.010299957,11.23000256,9.017760496,5.320888018
"Seattle, WA",3,2013,3.351022853,3.345961542,3.010299957,3.030194785,11.21239359,9.121795231,5.390233073
"Seattle, WA",3,2014,3.345961542,3.340245762,3.030194785,3.068927612,11.17633386,9.299448446,5.431712981
"Seattle, WA",3,2015,3.340245762,3.35755372,3.068927612,3.079904468,11.21505458,9.452003862,5.500453154
"Seattle, WA",3,2016,3.35755372,3.36398783,3.079904468,3.13225969,11.29476985,9.647060612,5.558376227
"Seattle, WA",3,2017,3.36398783,3.379486814,3.13225969,3.160768562,11.36855251,9.900347954,5.638852056
"Seattle, WA",3,2018,3.379486814,3.400365273,3.160768562,3.191730393,11.4914896,10.08832109,5.669689466
"Seattle, WA",3,2019,3.400365273,3.432327792,3.191730393,3.230193379,11.67116823,10.30990638,5.644657192
"Seattle, WA",3,2020,3.432327792,3.473778835,3.230193379,3.241546481,11.92314764,10.47082198,5.653645874
"Seattle, WA",3,2021,3.473778835,3.443732241,3.241546481,3.230959556,11.96276417,10.47330558,5.661693612
"Seattle, WA",3,2022,3.443732241,3.475961589,3.230959556,3.252124553,11.97028099,10.5074829,5.670002587
"Seattle, WA",3,2023,3.475961589,3.511883361,3.252124553,3.273464273,12.20717167,10.64571353,5.653215032
"New York, NY",4,2012,3.391111614,3.399154334,3.052693942,3.067442843,11.52691174,9.363964183,5.56908014
"New York, NY",4,2013,3.399154334,3.390228362,3.067442843,3.07773118,11.52390943,9.440764479,5.612956221
"New York, NY",4,2014,3.390228362,3.386498966,3.07773118,3.089198367,11.48100484,9.507722134,5.661118603
"New York, NY",4,2015,3.386498966,3.395501124,3.089198367,3.105850674,11.49886104,9.594588831,5.699282976
"New York, NY",4,2016,3.395501124,3.398113692,3.105850674,3.119585775,11.53829886,9.688967583,5.719383761
"New York, NY",4,2017,3.398113692,3.407050815,3.119585775,3.130655349,11.57754602,9.766347893,5.744446779
"New York, NY",4,2018,3.407050815,3.411451342,3.130655349,3.139564266,11.62298807,9.828893664,5.750447626
"New York, NY",4,2019,3.411451342,3.432969291,3.139564266,3.159266331,11.71140769,9.91871968,5.75715191
"New York, NY",4,2020,3.432969291,3.44684771,3.159266331,3.171141151,11.83292234,10.01847947,5.737424543
"New York, NY",4,2021,3.44684771,3.445759836,3.171141151,3.172894698,11.8770094,10.06169694,5.753395259
"New York, NY",4,2022,3.445759836,3.454539985,3.172894698,3.204662512,11.90351513,10.16805669,5.765608446
"New York, NY",4,2023,3.454539985,3.475816413,3.204662512,3.227372442,12.00734678,10.34263948,5.758076415
"Milwaukee, WI",5,2012,3.118595365,3.120902818,2.868056362,2.867467488,9.732833062,8.224058371,4.993617211
"Milwaukee, WI",5,2013,3.120902818,3.117602692,2.867467488,2.873901598,9.729735025,8.240819395,5.021288066
"Milwaukee, WI",5,2014,3.117602692,3.096562438,2.873901598,2.890421019,9.653851393,8.306785584,5.039988711
"Milwaukee, WI",5,2015,3.096562438,3.117933835,2.890421019,2.903089987,9.654876799,8.391152318,5.053172886
"Milwaukee, WI",5,2016,3.117933835,3.099335278,2.903089987,2.904174368,9.663522328,8.431079529,5.081860426
"Milwaukee, WI",5,2017,3.099335278,3.089198367,2.904174368,2.907948522,9.574461478,8.445189561,5.107292632
